text	ref	p_Id	body_Id
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	12	
"Ladysmith, British Columbia "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Ladysmith%2C_British_Columbia&params=48_59_51_N_123_49_13_W_scale:60000	12	
"Campbell’s Bay, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Campbell%27s_Bay%2C_Quebec&params=45_44_N_76_36_W_region:CA-QC_type:city(775)	12	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	13	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	13	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	13	
"Shawville, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Shawville%2C_Quebec&params=45_36_N_76_29_W_region:CA-QC_type:city(1664)	13	
"Montreal Forum, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Montreal_Forum&params=45_29_25_N_73_35_5_W_type:landmark_scale:2500	15	
"Quebec,Canada "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quebec&params=53_N_070_W_type:adm1st_scale:20000000_region:CA-QC 	15	
"Quebec,Canada "	https://tools.wmflabs.org/geohack/geohack.php?pagename=Quebec&params=53_N_070_W_type:adm1st_scale:20000000_region:CA-QC 	15	
"Montreal Forum, Quebec"	https://tools.wmflabs.org/geohack/geohack.php?pagename=Montreal_Forum&params=45_29_25_N_73_35_5_W_type:landmark_scale:2500\n	16	
